word,sentiment,lexicon,score
abandon,negative,loughran,NA
abandoned,negative,loughran,NA
abandoning,negative,loughran,NA
abandonment,negative,loughran,NA
abandonments,negative,loughran,NA
abandons,negative,loughran,NA
abdicated,negative,loughran,NA
abdicates,negative,loughran,NA
abdicating,negative,loughran,NA
abdication,negative,loughran,NA
abdications,negative,loughran,NA
aberrant,negative,loughran,NA
aberration,negative,loughran,NA
aberrational,negative,loughran,NA
aberrations,negative,loughran,NA
abetting,negative,loughran,NA
abnormal,negative,loughran,NA
abnormalities,negative,loughran,NA
abnormality,negative,loughran,NA
abnormally,negative,loughran,NA
abolish,negative,loughran,NA
abolished,negative,loughran,NA
abolishes,negative,loughran,NA
abolishing,negative,loughran,NA
abrogate,negative,loughran,NA
abrogated,negative,loughran,NA
abrogates,negative,loughran,NA
abrogating,negative,loughran,NA
abrogation,negative,loughran,NA
abrogations,negative,loughran,NA
abrupt,negative,loughran,NA
abruptly,negative,loughran,NA
abruptness,negative,loughran,NA
absence,negative,loughran,NA
absences,negative,loughran,NA
absenteeism,negative,loughran,NA
abuse,negative,loughran,NA
abused,negative,loughran,NA
abuses,negative,loughran,NA
abusing,negative,loughran,NA
abusive,negative,loughran,NA
abusively,negative,loughran,NA
abusiveness,negative,loughran,NA
accident,negative,loughran,NA
accidental,negative,loughran,NA
accidentally,negative,loughran,NA
accidents,negative,loughran,NA
accusation,negative,loughran,NA
accusations,negative,loughran,NA
accuse,negative,loughran,NA
accused,negative,loughran,NA
accuses,negative,loughran,NA
accusing,negative,loughran,NA
acquiesce,negative,loughran,NA
acquiesced,negative,loughran,NA
acquiesces,negative,loughran,NA
acquiescing,negative,loughran,NA
acquit,negative,loughran,NA
acquits,negative,loughran,NA
acquittal,negative,loughran,NA
acquittals,negative,loughran,NA
acquitted,negative,loughran,NA
acquitting,negative,loughran,NA
adulterate,negative,loughran,NA
adulterated,negative,loughran,NA
adulterating,negative,loughran,NA
adulteration,negative,loughran,NA
adulterations,negative,loughran,NA
adversarial,negative,loughran,NA
adversaries,negative,loughran,NA
adversary,negative,loughran,NA
adverse,negative,loughran,NA
adversely,negative,loughran,NA
adversities,negative,loughran,NA
adversity,negative,loughran,NA
aftermath,negative,loughran,NA
aftermaths,negative,loughran,NA
against,negative,loughran,NA
aggravate,negative,loughran,NA
aggravated,negative,loughran,NA
aggravates,negative,loughran,NA
aggravating,negative,loughran,NA
aggravation,negative,loughran,NA
aggravations,negative,loughran,NA
alerted,negative,loughran,NA
alerting,negative,loughran,NA
alienate,negative,loughran,NA
alienated,negative,loughran,NA
alienates,negative,loughran,NA
alienating,negative,loughran,NA
alienation,negative,loughran,NA
alienations,negative,loughran,NA
allegation,negative,loughran,NA
allegations,negative,loughran,NA
allege,negative,loughran,NA
alleged,negative,loughran,NA
allegedly,negative,loughran,NA
alleges,negative,loughran,NA
alleging,negative,loughran,NA
annoy,negative,loughran,NA
annoyance,negative,loughran,NA
annoyances,negative,loughran,NA
annoyed,negative,loughran,NA
annoying,negative,loughran,NA
annoys,negative,loughran,NA
annul,negative,loughran,NA
annulled,negative,loughran,NA
annulling,negative,loughran,NA
annulment,negative,loughran,NA
annulments,negative,loughran,NA
annuls,negative,loughran,NA
anomalies,negative,loughran,NA
anomalous,negative,loughran,NA
anomalously,negative,loughran,NA
anomaly,negative,loughran,NA
anticompetitive,negative,loughran,NA
antitrust,negative,loughran,NA
argue,negative,loughran,NA
argued,negative,loughran,NA
arguing,negative,loughran,NA
argument,negative,loughran,NA
argumentative,negative,loughran,NA
arguments,negative,loughran,NA
arrearage,negative,loughran,NA
arrearages,negative,loughran,NA
arrears,negative,loughran,NA
arrest,negative,loughran,NA
arrested,negative,loughran,NA
arrests,negative,loughran,NA
artificially,negative,loughran,NA
assault,negative,loughran,NA
assaulted,negative,loughran,NA
assaulting,negative,loughran,NA
assaults,negative,loughran,NA
assertions,negative,loughran,NA
attrition,negative,loughran,NA
aversely,negative,loughran,NA
backdating,negative,loughran,NA
bad,negative,loughran,NA
bail,negative,loughran,NA
bailout,negative,loughran,NA
balk,negative,loughran,NA
balked,negative,loughran,NA
bankrupt,negative,loughran,NA
bankruptcies,negative,loughran,NA
bankruptcy,negative,loughran,NA
bankrupted,negative,loughran,NA
bankrupting,negative,loughran,NA
bankrupts,negative,loughran,NA
bans,negative,loughran,NA
barred,negative,loughran,NA
barrier,negative,loughran,NA
barriers,negative,loughran,NA
bottleneck,negative,loughran,NA
bottlenecks,negative,loughran,NA
boycott,negative,loughran,NA
boycotted,negative,loughran,NA
boycotting,negative,loughran,NA
boycotts,negative,loughran,NA
breach,negative,loughran,NA
breached,negative,loughran,NA
breaches,negative,loughran,NA
